Province_original,Province_English,Region_original,Region_English
吉林省,Jilin,东北地区,Northeast
辽宁省,Liaoning,东北地区,Northeast
黑龙江,Heilongjiang,东北地区,Northeast
上海市,Shanghai,东部地区,Eastern
北京市,Beijing,东部地区,Eastern
天津市,Tianjin,东部地区,Eastern
山东省,Shandong,东部地区,Eastern
广东省,Guangdong,东部地区,Eastern
江苏省,Jiangsu,东部地区,Eastern
河北省,Hebei,东部地区,Eastern
浙江省,Zhejiang,东部地区,Eastern
海南省,Hainan,东部地区,Eastern
福建省,Fujian,东部地区,Eastern
安徽省,Anhui,中部地区,Central
山西省,Shanxi,中部地区,Central
江西省,Jiangxi,中部地区,Central
河南省,Henan,中部地区,Central
湖北省,Hubei,中部地区,Central
湖南省,Hunan,中部地区,Central
云南省,Yunnan,西部地区,Western
内蒙古,Inner Mongolia,西部地区,Western
四川省,Sichuan,西部地区,Western
宁夏,Ningxia,西部地区,Western
广西,Guangxi,西部地区,Western
新疆,Xinjiang,西部地区,Western
甘肃省,Gansu,西部地区,Western
西藏,Tibet,西部地区,Western
贵州省,Guizhou,西部地区,Western
重庆市,Chongqing,西部地区,Western
陕西省,Shaanxi,西部地区,Western
青海省,Qinghai,西部地区,Western
